TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,서대문,성인,일반,60,,참가증,20220302,M
1,강북,성인,일반,55,,3등급,20220302,F
6,양평,노인,일반,69,,3등급,20220302,M
1,연제,노인,일반,65,,참가증,20220302,F
1,강북,성인,일반,24,,참가증,20220302,M
1,강북,성인,일반,60,,참가증,20220302,M
1,제주,노인,일반,76,관리자,참가증,20220302,F
1,강북,노인,일반,65,,2등급,20220302,M
1,서구(대전),성인,일반,23,관리자,2등급,20220302,M
1,양평,노인,일반,65,,3등급,20220302,M
1,순천,성인,일반,57,관리자,참가증,20220302,F
1,KSPO송파,노인,일반,66,,2등급,20220302,M
2,영암,성인,일반,59,관리자,참가증,20220302,F
6,남구(울산),성인,일반,20,관리자,참가증,20220302,M
1,성남,성인,일반,61,관리자,참가증,20220302,M
2,마포,노인,일반,67,관리자,3등급,20220302,M
1,순천,성인,일반,61,관리자,3등급,20220302,F
1,영주,노인,일반,72,,3등급,20220302,M
2,고양,노인,일반,66,관리자,참가증,20220302,F
1,강동,노인,일반,66,관리자,2등급,20220302,M
1,서구(광주),성인,일반,44,관리자,3등급,20220302,F
1,세종,성인,일반,19,관리자,참가증,20220302,M
1,순천,성인,일반,26,관리자,참가증,20220302,F
4,안산,노인,일반,65,관리자,3등급,20220302,M
1,시흥,성인,일반,55,관리자,3등급,20220302,F
17,화성,성인,일반,64,관리자,2등급,20220302,M
6,정읍,성인,일반,20,,3등급,20220302,F
9,시흥,노인,일반,71,관리자,참가증,20220302,F
1,수원,성인,일반,35,,2등급,20220302,F
8,양평,노인,일반,75,,3등급,20220302,M
2,부천,노인,일반,65,관리자,3등급,20220302,M
1,강릉,성인,일반,21,관리자,3등급,20220302,M
1,KSPO송파,청소년,일반,14,관리자,2등급,20220302,M
1,순천,성인,일반,26,관리자,3등급,20220302,M
1,시흥,성인,일반,23,관리자,3등급,20220302,M
5,강북,노인,일반,66,,3등급,20220302,M
1,서대문,노인,일반,74,,3등급,20220302,M
6,서대문,성인,일반,63,,3등급,20220302,M
4,제주,성인,일반,62,관리자,참가증,20220302,M
1,남구(울산),성인,일반,21,관리자,참가증,20220302,M
4,의정부,노인,일반,73,관리자,2등급,20220302,M
1,정읍,청소년,일반,17,관리자,3등급,20220302,M
5,오산,노인,일반,66,관리자,3등급,20220302,F
1,화성,성인,일반,22,관리자,참가증,20220302,F
1,서대문,성인,일반,63,관리자,참가증,20220302,M
1,강동,노인,일반,65,관리자,참가증,20220302,M
1,순천,성인,일반,29,관리자,참가증,20220302,F
7,시흥,노인,일반,67,관리자,참가증,20220302,F
5,마포,노인,일반,72,관리자,3등급,20220302,M
2,오산,성인,일반,62,관리자,3등급,20220302,F
1,마포,성인,일반,61,관리자,2등급,20220302,M
1,영암,성인,일반,57,관리자,참가증,20220302,F
1,강동,성인,일반,62,관리자,참가증,20220302,M
1,의정부,성인,일반,61,관리자,참가증,20220302,M
1,의정부,성인,일반,55,관리자,참가증,20220302,F
1,세종,성인,일반,19,관리자,3등급,20220302,M
10,KSPO송파,노인,일반,77,관리자,2등급,20220302,M
1,증평,성인,일반,19,관리자,3등급,20220302,M
3,부천,노인,일반,77,관리자,3등급,20220302,F
1,마포,노인,일반,65,관리자,3등급,20220302,M
2,의정부,노인,일반,66,관리자,참가증,20220302,M
1,세종,성인,일반,23,관리자,참가증,20220302,M
6,고양,성인,일반,32,관리자,참가증,20220302,M
1,부천,성인,일반,61,관리자,3등급,20220302,M
1,청주,노인,일반,66,관리자,3등급,20220302,F
1,강동,성인,일반,62,관리자,참가증,20220302,F
3,화성,성인,일반,63,관리자,참가증,20220302,F
8,강릉,성인,일반,21,관리자,참가증,20220302,F
2,화성,노인,일반,70,관리자,2등급,20220302,F
1,강동,노인,일반,67,관리자,2등급,20220302,F
1,의정부,성인,일반,21,관리자,참가증,20220302,M
1,정읍,노인,일반,73,관리자,3등급,20220302,M
4,강릉,성인,일반,21,관리자,3등급,20220302,M
3,부천,노인,일반,67,관리자,1등급,20220302,F
5,오산,노인,일반,68,관리자,참가증,20220302,F
5,마포,노인,일반,71,관리자,2등급,20220302,F
1,제주,노인,일반,75,관리자,참가증,20220302,F
2,달서,성인,일반,25,인바디,참가증,20220302,M
1,마포,성인,일반,62,관리자,3등급,20220302,M
1,의정부,성인,일반,19,관리자,참가증,20220302,M
2,KSPO송파,노인,일반,80,관리자,2등급,20220302,M
2,화성,성인,일반,34,관리자,참가증,20220302,M
2,포천,성인,일반,52,관리자,2등급,20220302,M
2,KSPO송파,성인,일반,19,관리자,참가증,20220302,F
1,강북,성인,일반,24,,2등급,20220302,F
1,경산,성인,일반,54,관리자,참가증,20220302,F
4,KSPO송파,노인,일반,82,관리자,1등급,20220302,M
4,창원마산회원,성인,일반,20,관리자,2등급,20220302,M
5,광주,노인,일반,74,관리자,2등급,20220302,M
1,청주,노인,일반,65,관리자,2등급,20220302,F
1,KSPO아산,노인,일반,73,관리자,1등급,20220302,M
1,오산,성인,일반,42,관리자,참가증,20220302,F
2,창원,성인,일반,24,관리자,3등급,20220302,M
4,화성,노인,일반,76,관리자,1등급,20220302,M
2,천안,성인,일반,62,관리자,2등급,20220302,M
1,달서,성인,일반,21,인바디,2등급,20220302,M
5,달서,성인,일반,30,인바디,1등급,20220302,M
4,성남,노인,일반,76,관리자,1등급,20220302,F
1,동작,성인,일반,62,관리자,2등급,20220302,M
10,곡성,성인,일반,59,관리자,참가증,20220302,F
1,연수,노인,일반,73,,2등급,20220302,M
1,서대문,성인,일반,60,,참가증,20220302,M
1,동작,성인,일반,34,관리자,참가증,20220302,M
1,남구(울산),성인,일반,25,관리자,3등급,20220302,M
1,KSPO송파,성인,일반,27,관리자,참가증,20220302,M
2,마포,노인,일반,80,관리자,2등급,20220302,M
1,창원,성인,일반,27,관리자,1등급,20220302,F
3,의정부,노인,일반,75,관리자,2등급,20220302,M
1,의정부,노인,일반,73,관리자,3등급,20220302,M
3,의정부,노인,일반,75,관리자,참가증,20220302,M
1,목포,성인,일반,28,관리자,참가증,20220302,F
1,사상,성인,일반,49,관리자,3등급,20220302,F
4,서대문,성인,일반,64,관리자,참가증,20220302,M
1,고양,성인,일반,60,관리자,참가증,20220302,M
4,포천,노인,일반,67,관리자,3등급,20220302,M
1,화성,성인,일반,21,관리자,3등급,20220302,M
2,고양,노인,일반,67,관리자,2등급,20220302,F
3,창원마산회원,노인,일반,73,관리자,1등급,20220302,F
1,KSPO송파,성인,일반,59,관리자,참가증,20220302,M
6,강릉,성인,일반,22,관리자,3등급,20220302,M
2,삼척,성인,일반,56,관리자,3등급,20220302,M
1,강동,노인,일반,71,관리자,참가증,20220302,M
1,창원,청소년,일반,18,관리자,참가증,20220302,M
1,남구(울산),성인,일반,37,관리자,3등급,20220302,M
1,중구(서울),성인,출장,61,관리자,참가증,20220302,M
1,남구(울산),성인,일반,38,관리자,참가증,20220302,M
3,시흥,노인,일반,68,관리자,참가증,20220302,M
4,시흥,노인,일반,75,관리자,1등급,20220302,M
1,서구(광주),성인,일반,22,관리자,참가증,20220302,M
10,남구(울산),성인,일반,31,관리자,3등급,20220302,M
3,목포,성인,일반,54,관리자,참가증,20220302,F
2,남구(울산),성인,일반,21,관리자,참가증,20220302,M
4,동작,노인,일반,79,관리자,2등급,20220302,M
3,광주,노인,일반,78,관리자,3등급,20220302,M
3,오산,노인,일반,81,관리자,2등급,20220302,M
1,KSPO광주,청소년,일반,18,관리자,참가증,20220302,M
5,KSPO송파,노인,일반,73,관리자,2등급,20220302,F
1,광주,성인,일반,60,관리자,1등급,20220302,M
1,세종,성인,일반,21,관리자,참가증,20220302,F
3,부천,노인,일반,66,관리자,참가증,20220302,M
4,원주,성인,일반,55,관리자,참가증,20220302,F
2,고양,노인,일반,68,관리자,참가증,20220302,F
1,원주,성인,일반,53,관리자,참가증,20220302,F
3,강동,노인,일반,72,관리자,3등급,20220302,M
1,구미,성인,일반,20,관리자,3등급,20220302,F
1,중구(서울),성인,출장,30,관리자,참가증,20220302,M
4,동작,성인,일반,63,관리자,1등급,20220302,M
4,화성,노인,일반,71,관리자,3등급,20220302,M
7,KSPO송파,노인,일반,74,관리자,2등급,20220302,M
7,신안,성인,일반,25,관리자,참가증,20220302,M
1,정읍,성인,일반,62,관리자,2등급,20220302,M
1,곡성,노인,일반,73,관리자,참가증,20220302,F
5,포천,노인,일반,69,관리자,3등급,20220302,M
1,포항,성인,일반,26,인바디,참가증,20220302,M
4,강북,노인,일반,70,,3등급,20220302,M
1,원주,성인,일반,52,관리자,참가증,20220302,F
2,고양,노인,일반,67,관리자,2등급,20220302,F
1,화성,성인,일반,22,관리자,2등급,20220302,M
1,순천,성인,일반,21,관리자,참가증,20220302,F
1,동작,성인,일반,36,관리자,3등급,20220302,M
1,서대문,노인,일반,65,관리자,참가증,20220302,M
1,원주,성인,일반,52,관리자,참가증,20220302,F
1,춘천,성인,일반,42,관리자,참가증,20220302,F
1,의정부,노인,일반,71,관리자,3등급,20220302,M
3,의정부,노인,일반,77,관리자,3등급,20220302,M
4,의정부,노인,일반,72,관리자,참가증,20220302,M
1,제주,성인,일반,58,관리자,3등급,20220302,F
2,광주,노인,일반,66,관리자,3등급,20220302,M
2,세종,성인,일반,23,관리자,참가증,20220302,M
1,포항,성인,일반,49,인바디,2등급,20220302,F
1,원주,성인,일반,27,관리자,3등급,20220302,F
1,청주,노인,일반,77,관리자,참가증,20220302,M
1,남구(울산),성인,일반,35,관리자,참가증,20220302,M
6,달서,성인,일반,41,인바디,2등급,20220302,M
7,포항,성인,일반,27,인바디,참가증,20220302,M
2,고양,노인,일반,67,관리자,참가증,20220302,F
2,사상,성인,일반,20,관리자,3등급,20220302,M
8,서구(대전),노인,일반,75,관리자,1등급,20220302,F
1,서구(대전),노인,일반,66,관리자,참가증,20220302,F
1,화성,노인,일반,73,관리자,참가증,20220302,F
6,KSPO송파,노인,일반,65,관리자,참가증,20220302,M
3,남구(울산),성인,일반,35,관리자,참가증,20220302,M
2,동작,성인,일반,21,관리자,2등급,20220302,F
1,강릉,성인,일반,60,관리자,참가증,20220302,M
5,오산,노인,일반,79,관리자,3등급,20220302,M
2,KSPO대구,성인,일반,26,,1등급,20220302,F
1,강북,성인,일반,25,,3등급,20220302,M
3,KSPO대구,성인,일반,20,,참가증,20220302,F
1,서대문,성인,일반,44,,참가증,20220302,M
2,강북,노인,일반,72,,3등급,20220302,M
1,연제,성인,일반,22,,3등급,20220302,M
2,고양,노인,일반,79,관리자,참가증,20220302,M
8,세종,성인,일반,21,관리자,3등급,20220302,F
2,시흥,성인,일반,20,관리자,참가증,20220302,M
