TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,KSPO송파,성인,일반,59,,3등급,20220203,M
1,동구(부산),성인,일반,37,,참가증,20220203,M
4,수원,노인,일반,77,,참가증,20220203,M
1,미추홀,청소년,일반,18,,3등급,20220203,M
5,수원,노인,일반,71,,참가증,20220203,M
2,수원,노인,일반,81,,2등급,20220203,M
4,수원,노인,일반,76,,참가증,20220203,M
1,양평,성인,일반,55,,2등급,20220203,F
1,KSPO대구,청소년,일반,18,,3등급,20220203,M
1,KSPO대구,성인,일반,50,,참가증,20220203,F
1,안산,성인,일반,22,관리자,2등급,20220203,M
1,북구(광주),성인,일반,24,관리자,3등급,20220203,M
2,광산,성인,일반,51,관리자,2등급,20220203,F
4,KSPO송파,성인,일반,19,관리자,참가증,20220203,M
2,KSPO광주(출장),성인,출장,52,관리자,참가증,20220203,F
3,사하,성인,일반,27,관리자,3등급,20220203,M
1,남구(울산),성인,일반,21,관리자,참가증,20220203,M
1,구미,성인,일반,50,관리자,3등급,20220203,F
5,KSPO광주,성인,일반,30,관리자,2등급,20220203,M
2,KSPO송파,성인,일반,61,관리자,참가증,20220203,F
1,포항,성인,일반,52,인바디,2등급,20220203,F
3,부천,노인,일반,68,관리자,3등급,20220203,M
1,남구(부산),성인,일반,24,관리자,3등급,20220203,M
1,스포원(금정),성인,일반,31,인바디,참가증,20220203,M
1,화성,노인,일반,69,관리자,참가증,20220203,F
1,남구(울산),성인,일반,26,관리자,참가증,20220203,M
6,동작,노인,일반,77,관리자,2등급,20220203,M
1,화성,성인,일반,63,관리자,참가증,20220203,F
1,화성,성인,일반,56,관리자,참가증,20220203,F
1,김천,성인,일반,21,관리자,3등급,20220203,M
1,화성,청소년,일반,18,관리자,참가증,20220203,M
3,광산,성인,일반,52,관리자,참가증,20220203,F
1,마포,성인,일반,64,관리자,참가증,20220203,F
2,마포,성인,일반,20,관리자,참가증,20220203,F
1,강릉,청소년,일반,18,관리자,참가증,20220203,M
2,강동,노인,일반,69,관리자,참가증,20220203,M
4,남구(부산),청소년,일반,18,관리자,참가증,20220203,F
4,KSPO광주,노인,일반,66,관리자,1등급,20220203,F
3,의정부,노인,일반,70,관리자,3등급,20220203,F
1,청주,성인,일반,19,관리자,참가증,20220203,M
1,계룡,성인,일반,53,관리자,2등급,20220203,M
1,제주,성인,일반,32,관리자,3등급,20220203,M
1,KSPO대구,성인,일반,21,,참가증,20220203,M
1,KSPO대구,성인,일반,25,,참가증,20220203,M
3,수원,노인,일반,67,,2등급,20220203,M
1,미추홀,성인,일반,63,,2등급,20220203,M
1,연제,성인,일반,21,,3등급,20220203,M
5,영주,성인,일반,51,,참가증,20220203,M
1,영주,성인,일반,50,,참가증,20220203,M
1,KSPO대구,성인,일반,19,,2등급,20220203,M
1,KSPO대구,성인,일반,19,,2등급,20220203,F
2,미추홀,성인,일반,22,,3등급,20220203,M
2,마포,성인,일반,60,관리자,참가증,20220203,M
1,창원,성인,일반,32,관리자,참가증,20220203,M
3,KSPO아산,노인,일반,74,,3등급,20220203,M
2,KSPO대구,성인,일반,22,,참가증,20220203,M
1,오산,성인,일반,63,관리자,3등급,20220203,M
1,강동,노인,일반,76,관리자,참가증,20220203,M
1,화성,노인,일반,69,관리자,참가증,20220203,M
2,부천,노인,일반,72,관리자,3등급,20220203,M
2,서구(대전),청소년,일반,18,관리자,1등급,20220203,M
3,포항,노인,일반,75,인바디,2등급,20220203,M
1,나주,성인,일반,24,관리자,3등급,20220203,M
7,의정부,노인,일반,79,관리자,3등급,20220203,M
1,스포원(금정),성인,일반,27,인바디,3등급,20220203,M
1,성동,성인,일반,53,관리자,3등급,20220203,F
2,서구(광주),성인,일반,24,관리자,참가증,20220203,M
4,마포,노인,일반,70,관리자,3등급,20220203,M
1,창원,성인,일반,31,관리자,참가증,20220203,M
6,세종,성인,일반,45,관리자,1등급,20220203,F
1,김천,노인,일반,69,관리자,참가증,20220203,F
1,강동,성인,일반,33,관리자,참가증,20220203,M
1,강동,성인,일반,25,관리자,2등급,20220203,M
7,원주,성인,일반,23,관리자,2등급,20220203,M
1,스포원(금정),성인,일반,52,인바디,2등급,20220203,M
1,남구(부산),성인,일반,38,관리자,참가증,20220203,M
4,화성,성인,일반,64,관리자,3등급,20220203,F
2,동작,청소년,일반,17,관리자,참가증,20220203,M
2,순천,성인,일반,42,인바디,2등급,20220203,M
2,서구(대전),성인,일반,57,관리자,1등급,20220203,M
4,서구(대전),성인,일반,55,관리자,2등급,20220203,M
1,동작,노인,일반,66,관리자,2등급,20220203,M
1,강동,노인,일반,71,관리자,참가증,20220203,M
1,화성,성인,일반,48,관리자,3등급,20220203,F
1,KSPO광주(출장),성인,출장,43,관리자,참가증,20220203,M
2,의정부,노인,일반,66,관리자,2등급,20220203,M
1,KSPO광주(출장),성인,출장,49,관리자,참가증,20220203,M
1,화성,노인,일반,72,관리자,참가증,20220203,F
1,부천,노인,일반,72,관리자,2등급,20220203,M
3,계룡,성인,일반,26,관리자,참가증,20220203,M
1,KSPO광주(출장),성인,출장,46,관리자,참가증,20220203,M
4,의정부,노인,일반,68,관리자,3등급,20220203,F
1,KSPO광주(출장),성인,출장,48,관리자,참가증,20220203,F
1,강동,성인,일반,24,관리자,참가증,20220203,F
2,남구(부산),성인,일반,32,관리자,참가증,20220203,M
1,태백,성인,일반,33,관리자,참가증,20220203,M
2,세종,성인,일반,27,관리자,3등급,20220203,M
1,태백,성인,일반,60,관리자,2등급,20220203,M
2,계룡,성인,일반,26,관리자,참가증,20220203,M
2,동작,성인,일반,19,관리자,참가증,20220203,M
2,KSPO송파,성인,일반,55,관리자,1등급,20220203,F
1,오산,성인,일반,62,관리자,참가증,20220203,M
1,서초,성인,일반,58,관리자,참가증,20220203,F
3,광주,청소년,일반,18,,참가증,20220203,M
3,원주,성인,일반,63,관리자,참가증,20220203,F
1,충주,유소년,일반,11,관리자,참가증,20220203,M
1,충주,유소년,일반,11,관리자,참가증,20220203,M
1,강동,노인,일반,72,관리자,2등급,20220203,M
1,오산,성인,일반,57,관리자,참가증,20220203,F
3,서구(대전),성인,일반,51,관리자,1등급,20220203,M
1,의정부,노인,일반,71,관리자,3등급,20220203,M
7,청주,성인,일반,50,관리자,3등급,20220203,F
1,제주,성인,일반,20,관리자,참가증,20220203,M
1,순천,청소년,일반,18,인바디,참가증,20220203,M
2,창원,노인,일반,71,관리자,1등급,20220203,F
5,의정부,성인,일반,63,관리자,참가증,20220203,M
1,서초,성인,일반,62,관리자,참가증,20220203,F
1,마포,성인,일반,22,관리자,참가증,20220203,F
2,오산,노인,일반,67,관리자,3등급,20220203,M
1,서구(대전),성인,일반,22,관리자,참가증,20220203,M
1,성동,성인,일반,63,관리자,3등급,20220203,F
2,강동,성인,일반,63,관리자,참가증,20220203,M
4,오산,노인,일반,79,관리자,3등급,20220203,F
1,KSPO광주(출장),성인,출장,53,관리자,3등급,20220203,M
1,남구(울산),성인,일반,24,관리자,2등급,20220203,F
2,강동,성인,일반,44,관리자,3등급,20220203,F
1,KSPO광주(출장),성인,출장,40,관리자,참가증,20220203,M
1,청주,성인,일반,23,관리자,참가증,20220203,M
2,청주,청소년,일반,18,관리자,2등급,20220203,M
1,강동,노인,일반,65,관리자,3등급,20220203,M
7,천안,성인,일반,63,관리자,2등급,20220203,M
2,광주,노인,일반,72,관리자,2등급,20220203,M
1,서구(대전),성인,일반,57,관리자,2등급,20220203,M
1,남구(부산),성인,일반,30,관리자,3등급,20220203,M
1,남원,성인,일반,22,관리자,참가증,20220203,M
5,마포,성인,일반,63,관리자,3등급,20220203,M
1,의정부,성인,일반,28,관리자,3등급,20220203,M
1,광주,성인,일반,21,관리자,참가증,20220203,M
1,남원,성인,일반,23,관리자,참가증,20220203,M
1,포항,성인,일반,21,인바디,참가증,20220203,M
2,광주,성인,일반,63,관리자,참가증,20220203,M
2,광주,성인,일반,63,관리자,2등급,20220203,M
1,스포원(금정),성인,일반,23,인바디,참가증,20220203,M
1,KSPO광주(출장),성인,출장,38,관리자,참가증,20220203,M
1,KSPO광주(출장),성인,출장,39,관리자,참가증,20220203,M
1,사상,성인,일반,23,관리자,참가증,20220203,M
4,KSPO송파,노인,일반,74,관리자,3등급,20220203,M
1,정읍,성인,일반,54,관리자,참가증,20220203,F
2,화성,성인,일반,35,관리자,2등급,20220203,M
4,성동,성인,일반,20,관리자,3등급,20220203,M
1,KSPO광주(출장),성인,출장,33,관리자,참가증,20220203,M
1,KSPO송파,성인,일반,19,관리자,참가증,20220203,M
2,세종,청소년,일반,18,관리자,3등급,20220203,M
2,계룡,성인,일반,27,관리자,1등급,20220203,F
1,천안,성인,일반,23,관리자,참가증,20220203,M
2,광주,성인,일반,60,관리자,참가증,20220203,M
1,남구(부산),성인,일반,27,관리자,3등급,20220203,M
1,화성,성인,일반,49,관리자,참가증,20220203,F
2,서구(대전),노인,일반,78,관리자,참가증,20220203,M
1,천안,성인,일반,50,관리자,참가증,20220203,M
1,천안,성인,일반,47,관리자,2등급,20220203,F
1,KSPO광주,성인,일반,34,관리자,3등급,20220203,M
1,동작,성인,일반,19,관리자,3등급,20220203,F
1,창원,성인,일반,33,관리자,참가증,20220203,M
1,춘천,노인,일반,65,관리자,3등급,20220203,M
4,춘천,성인,일반,52,관리자,참가증,20220203,F
2,동작,성인,일반,60,관리자,참가증,20220203,M
1,KSPO대구,성인,일반,55,,참가증,20220203,F
1,춘천,노인,일반,70,관리자,3등급,20220203,F
1,마포,성인,일반,39,관리자,참가증,20220203,M
1,마포,성인,일반,56,관리자,2등급,20220203,F
1,광주,노인,일반,66,관리자,참가증,20220203,M
1,KSPO광주,청소년,일반,18,관리자,3등급,20220203,F
3,성남,노인,일반,75,관리자,3등급,20220203,M
2,스포원(금정),성인,일반,27,인바디,3등급,20220203,M
1,미추홀,성인,일반,60,,2등급,20220203,M
1,KSPO아산,성인,일반,19,,3등급,20220203,M
1,KSPO대구,성인,일반,61,,3등급,20220203,M
1,KSPO송파,청소년,일반,18,,3등급,20220203,M
1,강북,성인,일반,60,,1등급,20220203,M
2,KSPO대구,성인,일반,56,,참가증,20220203,F
2,KSPO송파,노인,일반,80,,3등급,20220203,F
6,KSPO광주,노인,일반,66,관리자,1등급,20220203,F
1,동작,성인,일반,50,관리자,참가증,20220203,F
5,의정부,노인,일반,69,관리자,참가증,20220203,F
1,마포,성인,일반,56,관리자,참가증,20220203,F
2,서구(대전),성인,일반,30,관리자,참가증,20220203,M
1,천안,성인,일반,20,관리자,3등급,20220203,F
2,광산,성인,일반,53,관리자,3등급,20220203,F
1,의정부,성인,일반,20,관리자,참가증,20220203,M
1,창원,성인,일반,46,관리자,참가증,20220203,M
1,서초,성인,일반,53,관리자,2등급,20220203,F
2,KSPO광주(출장),성인,출장,51,관리자,3등급,20220203,M
1,KSPO광주(출장),성인,출장,39,관리자,참가증,20220203,M
1,오산,성인,일반,61,관리자,3등급,20220203,F
1,광주,성인,일반,61,관리자,참가증,20220203,F
3,동작,노인,일반,73,관리자,3등급,20220203,F
2,성남,성인,일반,61,관리자,참가증,20220203,M
1,부천,성인,일반,64,관리자,참가증,20220203,M
