CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,MBER_CO,FOND_DE
,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20211021
보디빌딩피지크,경상북도,경상북도 구미시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20211105
(사)창원요트클럽,경상남도,경상남도 창원시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200616
(사)예산스포츠클럽,충청남도,충청남도 예산군,조정,공공스포츠클럽,"19세이하부,20세이상부",남성,19,20210708
굿,전라북도,전라북도 전주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20200106
둠,경기도,경기도 과천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,29,20200109
맥,대구광역시,대구광역시 중구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20200101
수,제주특별자치도,제주특별자치도 서귀포시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,14,20211022
학,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20200220
흙,광주광역시,광주광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201228
샵 수사랑,경기도,경기도 수원시 권선구,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210311
팀 모비딕,울산광역시,울산광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20190410
팀 사랑해,경기도,경기도 김포시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210412
팀 아미고,경상남도,경상남도 통영시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200724
팀 친구들,경상남도,경상남도 통영시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201005
팀 플렉스,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20211024
팀 머슬맥스,전라남도,전라남도 목포시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210218
닉 스쿼시클럽,대구광역시,대구광역시 북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20201117
가온,전라남도,전라남도 목포시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200105
가온,전라북도,전라북도 전주시 완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,13,20200117
굴림,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,14,20211022
굿샷,울산광역시,울산광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20190410
나눔,경기도,경기도 안산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,26,20200101
네오,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20211029
닉샷,부산광역시,부산광역시 전체,스쿼시,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20210601
다랑,대구광역시,대구광역시 동구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,4,20210914
다섯,대구광역시,대구광역시 달서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,43,20200102
동작,서울특별시,서울특별시 동작구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20210616
등대,대구광역시,대구광역시 중구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20191224
라온,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,15,20211022
런업,경기도,경기도 고양시 일산동구,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20211209
루키,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20211025
리본,경기도,경기도 수원시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20211104
마농,대구광역시,대구광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20200101
마블,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20211120
만개,대구광역시,대구광역시 수성구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20200101
맥스,세종특별자치시,세종특별자치시 전체,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20210616
무명,세종특별자치시,세종특별자치시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20200103
배구,서울특별시,서울특별시 동작구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210621
법농,대구광역시,대구광역시 수성구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,27,20200103
볼트,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20210510
불혹,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,12,20200108
붐붐,부산광역시,부산광역시 전체,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200801
비담,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,8,20211022
삼각,서울특별시,서울특별시 강남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,17,20200624
삼화,서울특별시,서울특별시 서초구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20211201
상승,대구광역시,대구광역시 달서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20200101
석천,경기도,경기도 의정부시,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20211124
센탁,경기도,경기도 의왕시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20201019
솔피,전라남도,전라남도 여수시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20210202
수달,광주광역시,광주광역시 남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20201214
스윕,서울특별시,서울특별시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,14,20210608
아키,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20211022
애향,제주특별자치도,제주특별자치도 제주시,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20211016
액션,대구광역시,대구광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,30,20200101
어썸,서울특별시,서울특별시 영등포구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20200108
어흥,충청북도,충청북도 괴산군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,13,20211118
엔터,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20211024
오성,경기도,경기도 군포시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20201015
용들,경기도,경기도 안산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,10,20200120
용산,대구광역시,대구광역시 달서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20200102
우노,서울특별시,서울특별시 전체,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20190503
울진,경상북도,경상북도 울진군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210630
웁스,전라북도,전라북도 정읍시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,24,20200115
윈윈,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20211025
자연,광주광역시,광주광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201118
즐테,서울특별시,서울특별시 광진구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20201121
직진,경기도,경기도 안산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20200111
철새,강원도,강원도 속초시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200102
청목,대구광역시,대구광역시 수성구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20210518
청풍,충청북도,충청북도 청주시 흥덕구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36,20200424
충남,충청남도,충청남도 당진시,탁구,공공스포츠클럽,20세이상부,여성,1,20191024
친구,대구광역시,대구광역시 동구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20200429
큐브,대구광역시,대구광역시 북구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210913
크무,서울특별시,서울특별시 성북구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,6,20210614
킬샷,서울특별시,서울특별시 동대문구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20211128
킹핀,경상남도,경상남도 남해군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,13,20210724
탐나,제주특별자치도,제주특별자치도 제주시,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20211017
팀홍,서울특별시,서울특별시 양천구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190607
팬텀,광주광역시,광주광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,24,20200103
퍼즐,전라북도,전라북도 정읍시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20200115
퓨리,경상북도,경상북도 경산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20200108
한강,서울특별시,서울특별시 강남구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20210622
한내,경기도,경기도 포천시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201205
한울,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,13,20211022
해윰,대구광역시,대구광역시 북구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200706
홀릭,경기도,경기도 남양주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,26,20190610
홈짐,경기도,경기도 남양주시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190509
라온,대구광역시,대구광역시 달서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,11,20200102
점프 업,인천광역시,인천광역시 서구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,4,20210508
대전 드림,대전광역시,대전광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,23,20200117
세종 행복,세종특별자치시,세종특별자치시 전체,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20200816
순천 더원,전라남도,전라남도 순천시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210219
안인 유닛,경기도,경기도 광명시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20211028
여수 한울,전라남도,전라남도 여수시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20210616
용인 사격,경기도,경기도 용인시 처인구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210625
청주 샛별,충청북도,충청북도 청주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201214
클럽 몽키,경상남도,경상남도 창원시 마산합포구,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210420
김제 하키 클럽,전라북도,전라북도 김제시,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210707
오창 배구 클럽,충청북도,충청북도 청주시 청원구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,17,20200309
은호 펜싱 클럽,서울특별시,서울특별시 서초구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20201021
제주 요트 클럽,제주특별자치도,제주특별자치도 서귀포시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200625
대전 서구 요트 동호회,대전광역시,대전광역시 서구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210125
김천 어모 꿈앤들,경상북도,경상북도 김천시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,15,20200810
인천 하키 연합회,인천광역시,인천광역시 미추홀구,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20190320
충주 강성 체육관,충청북도,충청북도 충주시,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20210129
대구 명성 프리존 클럽,대구광역시,대구광역시 달성군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200607
세종 대왕 테니스 클럽,세종특별자치시,세종특별자치시 전체,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20210804
세종 한솔 테니스 클럽,세종특별자치시,세종특별자치시 전체,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,28,20200907
익산 현대 줄넘기 클럽,전라북도,전라북도 익산시,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,13,20211011
제주 김녕 요트클럽,제주특별자치도,제주특별자치도 제주시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210729
광주 상금 소프트테니스 클럽,광주광역시,광주광역시 서구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200205
예산 추사 소프트테니스클럽,충청남도,충청남도 예산군,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20210204
문희 정우회,경상북도,경상북도 문경시,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,48,20200114
서울 스피드,서울특별시,서울특별시 강동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,25,20200107
세븐 스포츠,대구광역시,대구광역시 북구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20201201
세종 단테매,세종특별자치시,세종특별자치시 전체,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20210115
전북 올포원,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,28,20200102
전주 몽키즈,전라북도,전라북도 전주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,25,20200107
철원 두루미,강원도,강원도 철원군,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201027
청주 슬로우,충청북도,충청북도 청주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,14,20200102
충주 파랑새,충청북도,충청북도 충주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34,20210621
합천 호크스,경상남도,경상남도 합천군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200424
현무 멀티짐,인천광역시,인천광역시 미추홀구,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20210415
구미 카라테 클립,경상북도,경상북도 구미시,카라테,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20210616
나주 테니스 클럽,전라남도,전라남도 나주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20201127
안골 킥복싱 클럽,대전광역시,대전광역시 전체,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201229
김제 에이스 탁구 클럽,전라북도,전라북도 김제시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210307
부산 로러스 펜싱 클럽,부산광역시,부산광역시 해운대구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20201112
울산 아쎄로 동호회,울산광역시,울산광역시 남구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,25,20210623
태안 해파리 배구클럽,충청남도,충청남도 태안군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20200518
평창 레거시 슬라이딩,서울특별시,서울특별시 송파구,루지,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20211122
현대 자동차 빙상클럽(쭈구리),울산광역시,울산광역시 동구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210814
경북 울진군 소프트테니스 크럽,경상북도,경상북도 울진군,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200118
가야 씨름클럽,전라남도,전라남도 광양시,씨름,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210502
길벗 검도클럽,충청남도,충청남도 당진시,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201208
동부 씨름클럽,전라남도,전라남도 광양시,씨름,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210502
동탄 펜싱클럽,경기도,경기도 화성시,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200305
명성 챠밍클럽,대구광역시,대구광역시 달성군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,8,20200608
명성 혜윰클럽,대구광역시,대구광역시 달성군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200608
부발 발리더스,경기도,경기도 이천시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,12,20210624
북구 볼링협회,대구광역시,대구광역시 북구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,39,20200604
시흥 스페셜원,경기도,경기도 시흥시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190507
안양 스페셜원,경기도,경기도 안양시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,24,20190504
양평 강상클럽,경기도,경기도 양평군,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20210227
연수 청량크럽,인천광역시,인천광역시 연수구,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200606
영주 스타클럽,경상북도,경상북도 영주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20200614
완주 봉서클럽,전라북도,전라북도 완주군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,6,20210126
장룡 로잉클럽,부산광역시,부산광역시 강서구,조정,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20211020
제주 전광석화,제주특별자치도,제주특별자치도 제주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,29,20210620
춘천 루미너스,강원도,강원도 춘천시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,17,20200713
킹덤 중리지부,경상남도,경상남도 창원시 마산회원구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200806
현대 트랜시스  클럽,충청남도,충청남도 서산시,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20191005
대전 재미지게 배구 클럽,대전광역시,대전광역시 유성구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20200507
부천 점프스타 줄넘기 클럽,경기도,경기도 부천시,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20210310
인천 점프스타 줄넘기클럽,인천광역시,인천광역시 동구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,15,20210508
전주 농촌진흥청 아침테니스회,전라북도,전라북도 전주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200725
대전 수정초등학교,대전광역시,대전광역시 유성구,롤러,학교스포츠클럽,13세이하부,혼성,1,20191015
부천 와이어주짓수,경기도,경기도 부천시 원미구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210819
성인 피겨스케이팅,서울특별시,서울특별시 송파구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20191204
구리 스쿼시라이프,경기도,경기도 구리시,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200612
고양 신일스포츠센터,경기도,경기도 고양시 일산서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20201124
구미 스카이배구클럽,경상북도,경상북도 구미시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,43,20210617
인천 연수구배구협회,인천광역시,인천광역시 연수구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,15,20201214
충남 태안군볼링협회,충청남도,충청남도 태안군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200713
홍천 그린테니스클럽,강원도,강원도 홍천군,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200511
월드.백조클럽,광주광역시,광주광역시 서구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200220
돌풍(청주),충청북도,충청북도 청주시 청원구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20200802
솜리(익산)이순소프트테니스클럽,전라북도,전라북도 익산시,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200220
단비(방촌실내},대구광역시,대구광역시 동구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20201228
거산회,제주특별자치도,제주특별자치도 서귀포시,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210409
거창군,경상남도,경상남도 거창군,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20201124
걸리버,서울특별시,서울특별시 서대문구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20211102
걸스키,세종특별자치시,세종특별자치시 전체,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,2,20191030
고산리,제주특별자치도,제주특별자치도 제주시,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20211026
군위군,경상북도,경상북도 군위군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200526
굴림돌,경상남도,경상남도 남해군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20210722
그냥해,광주광역시,광주광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201118
글로리,세종특별자치시,세종특별자치시 전체,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200820
김남수,대구광역시,대구광역시 달서구,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210603
김녕리,제주특별자치도,제주특별자치도 제주시,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20211025
김석원,대구광역시,대구광역시 달성군,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20210602
김현중,경기도,경기도 평택시,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20211207
꿈쉴메,전라북도,전라북도 완주군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,10,20210303
나가자,제주특별자치도,제주특별자치도 제주시,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20211007
나이츠,경상남도,경상남도 남해군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200729
네피어,전라북도,전라북도 김제시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20200108
달구지,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20211022
대전시,대전광역시,대전광역시 전체,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20210624
대화고,경기도,경기도 고양시 일산서구,스쿼시,학교스포츠클럽,19세이하부,남성,1,20211014
더블샷,서울특별시,서울특별시 강서구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210518
레드팀,부산광역시,부산광역시 전체,스쿼시,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20210601
레드핫,서울특별시,서울특별시 성동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,17,20200102
로스쿨,서울특별시,서울특별시 강남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20191025
리시브,충청북도,충청북도 청주시 청원구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,22,20200424
마르션,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,18,20200103
매농사,대구광역시,대구광역시 달서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,17,20200102
맨투맨,울산광역시,울산광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,8,20190410
맨투맨,대구광역시,대구광역시 북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20200106
무소속,전라남도,전라남도 광양시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20190815
무지개,대구광역시,대구광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,26,20200102
미라클,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20211022
